Name;ISIN;Symbol;Market;"Trading Currency";Open;High;Low;Last;"Last Date/Time";"Time Zone";Volume;Turnover
1000MERCIS;FR0010285965;ALMIL;"Euronext Growth Paris";EUR;30,00;30,10;30,00;30,00;"12/04/2022 16:07";CET;19561;586869,70
"2020 BULKERS";BMG9156K1018;2020;"Oslo Børs";NOK;117,80;118,60;115,40;118,20;"12/04/2022 16:29";CET;79245;9267136,40
2CRSI;FR0013341781;2CRSI;"Euronext Paris";EUR;4,75;4,75;4,60;4,605;"12/04/2022 17:35";CET;9926;46180,995
"2MX ORGANIC";FR0014000T90;2MX;"Euronext Paris";EUR;10,00;10,05;10,00;10,00;"12/04/2022 15:28";CET;4093;40934,95
"2MX ORGANIC BS";FR0014000TB2;2MXBS;"Euronext Paris";EUR;0,23;0,23;0,23;0,23;"08/04/2022 14:47";CET;5000;1150,00
"5TH PLANET GAMES";DK0060945467;5PG;"Euronext Expand Oslo";NOK;1,30;1,368;1,22;1,268;"12/04/2022 16:25";CET;1572842;2014456,83
"A TOUTE VITESSE";FR0010050773;MLATV;"Euronext Access Paris";EUR;1,48;1,48;1,35;1,35;"13/11/2019 16:53";CET;378;521,87
"A.S.T. GROUPE";FR0000076887;ALAST;"Euronext Growth Paris";EUR;4,07;4,07;3,96;4,02;"12/04/2022 17:28";CET;1377;5511,43
"AALBERTS NV";NL0000852564;AALB;"Euronext Amsterdam";EUR;43,78;44,69;43,14;44,45;"12/04/2022 17:37";CET;314937;13908609,86
"AASEN SPAREBANK";NO0010672181;AASB;"Euronext Growth Oslo";NOK;153,00;153,00;146,00;146,00;"06/04/2022 15:46";CET;2968;444545,00
"AB INBEV";BE0974293251;ABI;"Euronext Brussels";EUR;53,18;54,04;52,71;53,97;"12/04/2022 17:37";CET;1436438;77058137,10
"AB SCIENCE";FR0010557264;AB;"Euronext Paris";EUR;10,53;10,80;10,40;10,58;"12/04/2022 17:35";CET;57238;604686,91
ABATTOIR;BE0946377455;-;"Euronext Expert Market";EUR;47,70;47,70;47,70;47,70;"24/01/2017 11:30";CET;500;23850,00
"ABC ARBITRAGE";FR0004040608;ABCA;"Euronext Paris";EUR;7,70;7,76;7,67;7,67;"12/04/2022 17:35";CET;48888;377331,88
ABEO;FR0013185857;ABEO;"Euronext Paris";EUR;16,40;16,40;16,25;16,25;"12/04/2022 13:37";CET;107;1744,80
"ABG SUNDAL COLLIER";NO0003021909;ABG;"Oslo Børs";NOK;8,60;8,60;8,40;8,53;"12/04/2022 16:25";CET;331958;2823020,49
"ABIONYX PHARMA";FR0012616852;ABNX;"Euronext Paris";EUR;2,075;2,085;2,015;2,04;"12/04/2022 17:35";CET;59029;121123,33
ABIVAX;FR0012333284;ABVX;"Euronext Paris";EUR;22,95;22,95;21,35;21,50;"12/04/2022 17:35";CET;23215;506306,85
"ABN AMRO BANK N.V.";NL0011540547;ABN;"Euronext Amsterdam";EUR;11,745;11,91;11,555;11,715;"12/04/2022 17:35";CET;2773620;32501660,865
"ABO GROUP";BE0974278104;ABO;"Euronext Brussels, Paris";EUR;5,30;5,40;5,30;5,40;"12/04/2022 16:47";CET;236;1253,40
"ACACIA PHARMA";GB00BYWF9Y76;ACPH;"Euronext Brussels";EUR;0,804;0,815;0,804;0,81;"12/04/2022 17:35";CET;75434;60978,506
"ACANTHE DEV.";FR0000064602;ACAN;"Euronext Paris";EUR;0,494;0,494;0,492;0,492;"11/04/2022 12:13";CET;1307;643,46
"ACCELL GROUP";NL0009767532;ACCEL;"Euronext Amsterdam";EUR;57,40;57,45;57,40;57,45;"12/04/2022 17:35";CET;18818;1080975,55
ACCENTIS;BE0003696102;ACCB;"Euronext Brussels";EUR;0,0688;0,0688;0,067;0,0688;"12/04/2022 16:19";CET;26031;1773,553
ACCOR;FR0000120404;AC;"Euronext Paris";EUR;27,10;27,86;26,98;27,58;"12/04/2022 17:35";CET;468125;12890099,66
"ACCOR AC SHARES";FR0014003PZ3;AAC;"Euronext Paris";EUR;9,88;9,88;9,88;9,88;"31/03/2022 14:23";CET;150;1482,00
"ACCOR AC WARRANTS";FR0014003QK3;AACW;"Euronext Paris";EUR;0,14;0,14;0,14;0,14;"01/04/2022 16:16";CET;1200;168,00
ACCSYS;GB00BQQFX454;AXS;"Euronext Amsterdam";EUR;1,75;1,768;1,75;1,752;"12/04/2022 17:35";CET;46239;81292,848
ACHETER-LOUER.FR;FR00140072P8;ALALO;"Euronext Growth Paris";EUR;0,003;0,003;0,0026;0,0026;"12/04/2022 17:35";CET;19866414;55223,1322
"ACKERMANS V.HAAREN";BE0003764785;ACKB;"Euronext Brussels";EUR;165,00;165,00;163,20;164,00;"12/04/2022 17:36";CET;39300;6448874,10
ACTEOS;FR0000076861;EOS;"Euronext Paris";EUR;1,60;1,60;1,55;1,55;"12/04/2022 14:18";CET;441;686,78
"ACTIA GROUP";FR0000076655;ATI;"Euronext Paris";EUR;3,83;4,01;3,80;3,895;"12/04/2022 14:14";CET;3664;14234,60
"ACTICOR BIOTECH";FR0014005OJ5;ALACT;"Euronext Growth Paris";EUR;6,80;6,88;6,70;6,80;"12/04/2022 16:42";CET;992;6801,28
"ACTIVIUM GROUP";FR0010979377;MLACT;"Euronext Access Paris";EUR;1,36;1,36;1,36;1,36;"12/04/2022 16:30";CET;4;5,44
ACVLHO;BE0010012210;-;"Euronext Expert Market";EUR;4500,01;4500,01;4500,01;4500,01;"07/07/2015 11:30";CET;3;13500,03
ADA;FR0000053076;ALADA;"Euronext Growth Paris";EUR;12,50;12,50;12,10;12,50;"12/04/2022 12:30";CET;1067;13261,70
"ADC SIIC";BE0974269012;ALDV;"Euronext Paris";EUR;0,087;0,087;0,087;0,087;"11/04/2022 12:16";CET;5000;435,00
ADEUNIS;FR0013284627;ALARF;"Euronext Growth Paris";EUR;2,67;2,67;2,61;2,65;"12/04/2022 14:24";CET;2164;5701,00
ADEVINTA;NO0010844038;ADE;"Oslo Børs";NOK;78,20;82,25;77,45;82,15;"12/04/2022 16:25";CET;553486;44530339,80
ADOCIA;FR0011184241;ADOC;"Euronext Paris";EUR;5,10;5,15;4,80;4,90;"12/04/2022 17:35";CET;35966;176610,005
ADOMOS;FR0013247244;ALADO;"Euronext Growth Paris";EUR;0,0319;0,0319;0,0286;0,0295;"12/04/2022 17:26";CET;978804;28676,7862
ADP;FR0010340141;ADP;"Euronext Paris";EUR;134,65;139,05;134,00;138,35;"12/04/2022 17:35";CET;68202;9404536,65
"ADS MARITIME HOLD";CY0108052115;ADS;"Euronext Growth Oslo";NOK;1,45;1,51;1,45;1,46;"12/04/2022 14:14";CET;64800;96687,135
ADUX;FR0012821890;ADUX;"Euronext Paris, Amsterdam";EUR;2,07;2,07;1,90;1,95;"12/04/2022 17:25";CET;12937;25446,655
ADVENIS;FR0004152874;ALADV;"Euronext Growth Paris";EUR;2,64;2,64;2,64;2,64;"12/04/2022 09:00";CET;8;21,12
ADVICENNE;FR0013296746;ALDVI;"Euronext Growth Paris";EUR;6,00;6,36;5,79;6,10;"12/04/2022 17:35";CET;47205;283429,87
ADVINI;FR0000053043;ADVI;"Euronext Paris";EUR;18,40;18,40;18,20;18,20;"12/04/2022 17:35";CET;200;3669,80
ADYEN;NL0012969182;ADYEN;"Euronext Amsterdam";EUR;1596,00;1718,80;1591,60;1688,80;"12/04/2022 17:36";CET;102423;170720172,80
AEDIFICA;BE0003851681;AED;"Euronext Brussels, Amsterdam";EUR;116,80;117,20;115,10;115,50;"12/04/2022 17:35";CET;40857;4732470,20
AEGA;NO0010626559;AEGA;"Euronext Expand Oslo";NOK;1,328;1,368;1,328;1,338;"12/04/2022 14:55";CET;44135;59662,184
AEGON;NL0000303709;AGN;"Euronext Amsterdam";EUR;5,04;5,124;4,974;5,092;"12/04/2022 17:35";CET;10023059;50854677,025
"AELIS FARMA";FR0014007ZB4;AELIS;"Euronext Paris";EUR;13,20;13,30;13,14;13,14;"12/04/2022 15:05";CET;200;2639,98
"AERKOMM INC";US00774B2088;AKOM;"Euronext Paris";EUR;11,00;11,00;10,30;10,50;"07/04/2022 11:14";CET;585;6322,80
